BlacFaHMM Name	Class	Subfamily	Gene Name	Antibiotic Resistant	Antibiotic Class	 Definition	Family	Phenotype	Functional Information
SubfamilyB1_GIM	CLASS B	Subfamily B1	GIM-2, GIM, blaGIM-2, blaGIM-1, GIM-1	Cephamycin, Penam, Monobactam	Beta_lactam, Carbapenam, Cephalosporin	subclass B1 metallo-beta-lactamase	GIM beta-lactamase	NA	Carbapenemase
SubfamilyB1_IMP	CLASS B	Subfamily B1	IMP-30, bl3_imp, IMP, blaIMP-39, blaIMP-1, IMP-1	Cephamycin, Penam, Monobactam, Penicillin	Beta_lactam, Carbapenam, Cephalosporin	MULTISPECIES: subclass B1 metallo-beta-lactamase	IMP beta-lactamase	3a	Carbapenemase
SubfamilyB1_IND	CLASS B	Subfamily B1	IND-1, IND, blaIND-7, blaIND-1	NA	Beta_lactam, Carbapenam	subclass B1 metallo-beta-lactamase	IND beta-lactamase	3a	NA
SubfamilyB1_NDM	CLASS B	Subfamily B1	NDM-1, NDM-4, blaNDM-1, NDM-23, NDM	Cephamycin, Penam	Beta_lactam, Carbapenam, Cephalosporin	subclass B1 metallo-beta-lactamase	NDM beta-lactamase	3a	Carbapenemase
SubfamilyB1_SIM	CLASS B	Subfamily B1	blaSIM-1, SIM-1	Penam	Beta_lactam, Carbapenam, Cephalosporin	MULTISPECIES: subclass B1 metallo-beta-lactamase	SIM beta-lactamase	NA	Carbapenemase
SubfamilyB1_TMB	CLASS B	Subfamily B1	TMB-1, blaTMB-1	Cephamycin	Beta_lactam, Carbapenam, Cephalosporin	MULTISPECIES: subclass B1 metallo-beta-lactamase	TMB beta-lactamase	NA	Carbapenemase
SubfamilyB1_VIM	CLASS B	Subfamily B1	VIM-1, blaVIM-1, VIM-59, VIM	Cephamycin, Penam	Beta_lactam, Carbapenam, Cephalosporin	subclass B1 metallo-beta-lactamase	VIM beta-lactamase	3a	Carbapenemase
SubfamilyB1_CFIA	CLASS B	Subfamily B1	CcrA	NA	carbapenem	NA	CfiA beta-lactamase	3a	NA
SubfamilyB2_CPHA	CLASS B	Subfamily B2	cphA6, bl3_cpha, CPHA	Cephamycin, Penicillin	Beta_lactam, Carbapenam, Cephalosporin	subclass B2 metallo-beta-lactamase	CphA beta-lactamase	3b	NA
SubfamilyB3_GOB	CLASS B	Subfamily B3	GOB-1, blaGOB-8, GOB	Penam	Beta_lactam, Carbapenam, Cephalosporin	subclass B3 metallo-beta-lactamase	GOB beta-lactamase	3a	NA
SubfamilyB3_L1	CLASS B	Subfamily B3	L1B3, L1	NA	Beta_lactam	L1 family subclass B3 metallo-beta-lactamase	L1 family beta-lactamase	3a	NA
SubfamilyB3_LRA	CLASS B	Subfamily B3	LRA-1, blaLRA-1	Penam	Beta_lactam, Cephalosporin	subclass B3 beta-lactamase	LRA beta-lactamase	NA	NA
SubfamilyB3_BJP CLASS B Subfamily B3    BJP-1, NA       Carbapenem      subclass B3 Beta_lactam, Cephalosporin  subclass B3 beta-lactamase
              BJP beta-lactamase      NA      NA
CLASSC_ACC	CLASS C	NA	ACC-1, bl1_acc_ blaACC-1	Penicillin, Penam, Monobactam	Beta_lactam, Cephalosporin	NA	ACC beta-lactamase	1	NA
CLASSC_ACT	CLASS C	NA	ACT-29, blaACT-6, ACT-49, ACT	Cephamycin, Penam	Beta_lactam, Carbapenam, Cephalosporin	MULTISPECIES: cephalosporin-hydrolyzing class C beta-lactamase	ACT beta-lactamase	1	NA
CLASSC_AMPC	CLASS C	NA	ampC, bl1_ec, BLAEC, AmpC2	Penam	Beta_lactam, Cephalosporin	class C extended-spectrum beta-lactamase	ampC-type beta-lactamase	NA	NA
CLASSC_CMY	CLASS C	NA	CMY-2, blaCMY-133, CMY-134, CMY	Cephamycin	Beta_lactam, Cephalosporin	class C beta-lactamase	CMY beta-lactamase	1 and 1e	NA
CLASSC_DHA	CLASS C	NA	DHA-1, DHA-6, blaDHA-1, DHA-26, DHA	Cephamycin	Beta_lactam, Cephalosporin	class C beta-lactamase	DHA beta-lactamase	1	NA
CLASSC_FOX	CLASS C	NA	FOX-2, blaFOX-7, FOX-14, FOX	Cephamycin	Beta_lactam, Cephalosporin	MULTISPECIES: cephalosporin-hydrolyzing class C beta-lactamase	FOX beta-lactamase	1	NA
CLASSC_LAT	CLASS C	NA	LAT-1, blaLAT-1	cephamycin, cefoxitin, ceftazidime,  	Beta_lactam, Carbapenam, Cephalosporin	CMY-2 family cephalosporin-hydrolyzing class C beta-lactamase	LAT beta-lactamase	NA	NA
CLASSC_MIR	CLASS C	NA	MIR-10, MIR, blaMIR-5, MIR-8	Monobactam	Beta_lactam, Cephalosporin	MULTISPECIES: cephalosporin-hydrolyzing class C beta-lactamase	MIR beta-lactamase	1	NA
CLASSC_MOX	CLASS C	NA	MOX-1, bl1_mox, MOX, blaMOX-1	Cephamycin, Penam	Beta_lactam, Cephalosporin	MULTISPECIES: CMY-1/MOX family class C beta-lactamase	MOX beta-lactamase	NA	NA
CLASSC_SRT	CLASS C	NA	bl1_sm, SRT, SRT-2	NA	Beta_lactam, Cephalosporin	NA	SRT beta-lactamase	NA	NA
CLASSC_ADC	CLASS C	NA	ADC-2, ADC, blaADC-58, blaADC-25, ADC-105	NA	Beta_lactam, Cephalosporin	class C beta-lactamase	ADC beta-lactamase	NA	ESBL
CLASSC_ESC	CLASS C	NA	NA	penam	cephalosporin 	NA	ESC beta-lactamase	NA	NA
CLASSC_PDC	CLASS C	NA	PDC, PDC-5, PDC 303	monobactam	carbapenem, cephalosporin	class C beta-lactamase	PDC beta-lactamase	NA	NA
CLASSC_AQU	CLASS C	NA	AQU-1, AQU, blaAQU-2	NA	Beta_lactam, Cephalosporin	class C beta-lactamase	AQU beta-lactamase	NA	NA
CLASSC_CDA	CLASS C	NA	NA	NA	NA	NA	CDA beta-lactamase	NA	NA
CLASSC_CMH	CLASS C	NA	blaCMH-3, blaCMH-1	NA	Beta_lactam	NA	CMH beta-lactamase	NA	NA
CLASSC_LHK	CLASS C	NA	NA	NA	NA	NA	LHK beta-lactamase	NA	NA
CLASSC_OCH	CLASS C	NA	OCH-1, bl1_och, OCH, blaOCH-7	monobactam, cephamycin, penam, penem	cephalosporin	class C extended-spectrum beta-lactamase	OCH beta-lactamase	NA	NA
CLASSC_SEC	CLASS C	NA	NA	NA	NA	NA	SEC beta-lactamase	NA	NA
CLASSD_LCR	CLASS D	NA	LCR-1, bl2d_lcr1, blaLCR-1	cloxacillin, penicillin, Penam	Beta_lactam, Cephalosporin	oxacillin-hydrolyzing class D beta-lactamase	LCR beta-lactamase	NA	NA
CLASSD_OXA	CLASS D	NA	OXA-10, bl2d_oxa10, OXA, blaOXA-10	cloxacillin, penicillin, Penam	Beta_lactam, Cephalosporin	MULTISPECIES: oxacillin-hydrolyzing class D beta-lactamase	OXA beta-lactamase	2d, 2de, 2df, 2def	Carbapenemase, ESBL, Narrow Spectrum
